
Time;Landmark_name;Landmark_viewPos;est_x;est_y;est_z;answer_x;anwser_y;answer_z
4/2/2025 2:17:16 PM;TargetLandmark5_Church;(0.343, 0.838, 2.440);0.343;0.838;2.440;0.604;0.882;275.000
4/2/2025 2:17:16 PM;TargetLandmark6_GlobalLandmark2;(0.313, 0.736, 2.504);0.313;0.736;2.504;0.869;0.849;235.000
4/2/2025 2:17:16 PM;TargetLandmark7_MusicShop;(0.796, 0.541, 2.394);0.796;0.541;2.394;0.791;0.569;280.000
4/2/2025 2:17:17 PM;TargetLandmark1_Billboard;(0.312, 0.625, 2.419);0.312;0.625;2.419;0.598;0.395;290.000
4/2/2025 2:17:17 PM;TargetLandmark2_LionStatue;(0.632, 0.638, 2.374);0.632;0.638;2.374;0.394;0.217;292.500
4/2/2025 2:17:17 PM;TargetLandmark3_GlobalLandmark1;(0.456, 0.858, 2.478);0.456;0.858;2.478;0.117;0.395;260.000
4/2/2025 2:17:17 PM;TargetLandmark4_GasStation;(0.597, 0.869, 2.431);0.597;0.869;2.431;0.307;0.677;295.000
4/2/2025 2:17:17 PM;TargetLandmark5_Church;(0.343, 0.838, 2.440);0.343;0.838;2.440;0.604;0.882;275.000
4/2/2025 2:17:17 PM;TargetLandmark6_GlobalLandmark2;(0.313, 0.736, 2.504);0.313;0.736;2.504;0.869;0.849;235.000
4/2/2025 2:17:17 PM;TargetLandmark7_MusicShop;(0.796, 0.541, 2.394);0.796;0.541;2.394;0.791;0.569;280.000
